六州歌头长淮望断,宋,张孝祥,长淮望断，关塞莽然平，征尘暗，霜风劲，悄边声，黯销凝，追想当年事，殆天数，非人力，洙泗上，弦歌地，亦膻腥，隔水毡乡，落日牛羊下，区脱纵横，看名王宵猎，骑火一川明，笳鼓悲鸣，遣人惊，念腰间箭，匣中剑，空埃蠹，竟何成，时易失，心徒壮，岁将零，渺神京，干羽方怀远，静烽燧，且休兵，冠盖使，纷驰骛，若为情，闻道中原遗老，常南望，羽葆霓旌，使行人到此，忠愤气填膺，有泪如倾
六月二十七日望湖楼醉书,宋,苏轼,黑云翻墨未遮山，白雨跳珠乱入船，卷地风来忽吹散，望湖楼下水如天
兰陵王丙子送春,宋,刘辰翁,送春去，春去人间无路，秋千外，芳草连天，谁遣风沙暗南浦，依依甚意绪，漫忆海门飞絮，乱鸦过，斗转城荒，不见来时试灯处，春去，最谁苦，但箭雁沈边，梁燕无主，杜鹃声里长门暮，想玉树凋土，泪盘如露，咸阳送客屡回顾，斜日未能度，春去，尚来否，正江令恨别，庾信愁赋，二人皆北去，苏堤尽日风和雨，叹神游故国，花记前度，人生流落，顾孺子，共夜语
兰陵王柳,宋,周邦彦,柳阴直，烟里丝丝弄碧，隋堤上，曾见几番，拂水飘绵送行色，登临望故国，谁识，京华倦客，长亭路，年去岁来，应折柔条过千尺，闲寻旧踪迹，又酒趁哀弦，灯照离席，梨花榆火催寒食，愁一箭风快，半篙波暖，回头迢递便数驿，望人在天北，凄恻，恨堆积，渐别浦萦回，津堠岑寂，斜阳冉冉春无极，念月榭携手，露桥闻笛，沉思前事，似梦里，泪暗滴
关山月,唐,李白,明月出天山，苍茫云海间，长风几万里，吹度玉门关，汉下白登道，胡窥青海湾，由来征战地，不见有人还，戍客望边邑，思归多苦颜，高楼当此夜，叹息未应闲
关雎,先秦,佚名,关关雎鸠，在河之洲，窈窕淑女，君子好逑，参差荇菜，左右流之，窈窕淑女，寤寐求之，求之不得，寤寐思服，悠哉悠哉，辗转反侧，参差荇菜，左右采之，窈窕淑女，琴瑟友之，参差荇菜，左右芼之，窈窕淑女，钟鼓乐之
兵车行,唐,杜甫,车辚辚，马萧萧，行人弓箭各在腰，爷娘妻子走相送，尘埃不见咸阳桥，牵衣顿足拦道哭，哭声直上干云霄，道旁过者问行人，行人但云点行频，或从十五北防河，便至四十西营田，去时里正与裹头，归来头白还戍边，边庭流血成海水，武皇开边意未已，君不闻汉家山东二百州，千村万落生荆杞，纵有健妇把锄犁，禾生陇亩无东西，况复秦兵耐苦战，被驱不异犬与鸡，长者虽有问，役夫敢申恨，且如今年冬，未休关西卒，县官急索租，租税从何出，信知生男恶，反是生女好，生女犹得嫁比邻，生男埋没随百草，君不见，青海头，古来白骨无人收，新鬼烦冤旧鬼哭，天阴雨湿声啾啾
冉冉孤生竹,汉,佚名,冉冉孤生竹，结根泰山阿，与君为新婚，菟丝附女萝，菟丝生有时，夫妇会有宜，千里远结婚，悠悠隔山陂，思君令人老，轩车来何迟，伤彼蕙兰花，含英扬光辉，过时而不采，将随秋草萎，君亮执高节，贱妾亦何为
冬景,宋,苏轼,荷尽已无擎雨盖，菊残犹有傲霜枝，一年好景君须记，正是橙黄橘绿时
凉州词二首其一,唐,王之涣,黄河远上白云间，一片孤城万仞山，羌笛何须怨杨柳，春风不度玉门关
凉州词二首其一,唐,王翰,葡萄美酒夜光杯，欲饮琵琶马上催，醉卧沙场君莫笑，古来征战几人回
凉州词,唐,王之涣,黄河远上白云间，一片孤城万仞山，羌笛何须怨杨柳，春风不度玉门关
凉州词,唐,王翰,葡萄美酒夜光杯，欲饮琵琶马上催，醉卧沙场君莫笑，古来征战几人回
凉思,唐,李商隐,客去波平槛，蝉休露满枝，永怀当此节，倚立自移时，北斗兼春远，南陵寓使迟，天涯占梦数，疑误有新知
减字木兰花竞渡,宋,黄裳,红旗高举，飞出深深杨柳渚，鼓击春雷，直破烟波远远回，欢声震地，惊退万人争战气，金碧楼西，衔得锦标第一归
减字木兰花莎衫筠笠,宋,卢炳,莎衫筠笠，正是村村农务急，绿水千畦，惭愧秧针出得齐，风斜雨细，麦欲黄时寒又至，馌妇耕夫，画作今年稔岁图
减字木兰花题雄州驿,宋,蒋氏女,朝云横度，辘辘车声如水去，白草黄沙，月照孤村三两家，飞鸿过也，万结愁肠无昼夜，渐近燕山，回首乡关归路难
凛凛岁云暮,汉,佚名,凛凛岁云暮，蝼蛄夕鸣悲，凉风率已厉，游子寒无衣，锦衾遗洛浦，同袍与我违，独宿累长夜，梦想见容辉，良人惟古欢，枉驾惠前绥，愿得常巧笑，携手同车归，既来不须臾，又不处重闱，亮无晨风翼，焉能凌风飞，眄睐以适意，引领遥相睎，徙倚怀感伤，垂涕沾双扉
凤箫吟锁离愁,宋,韩缜,锁离愁，连绵无际，来时陌上初熏，绣帏人念远，暗垂珠泪，泣送征轮，长亭长在眼，更重重，远水孤云，但望极楼高，尽日目断王孙，消魂，池塘别后，曾行处，绿妒轻裙，恁时携素手，乱花飞絮里，缓步香茵，朱颜空自改，向年年，芳意长新，遍绿野，嬉游醉眠，莫负青春
出塞二首其一,唐,王昌龄,秦时明月汉时关，万里长征人未还，但使龙城飞将在，不教胡马度阴山
出塞,唐,王昌龄,秦时明月汉时关，万里长征人未还，但使龙城飞将在，不教胡马度阴山
